2010-03-02,Lou,Millard Fillmore,Having a coin minted in your honor,http://www.coinnews.net/2010/02/03/2010-millard-fillmore-presidential-dollar-launches-feb-18/
2010-03-05,Geoff,Chad Ocho Cinco,Nude pictures leaked,http://blog.sfgate.com/abraham/2010/03/05/chad-ochocinco-johnson-runs-naked-in-public/
2010-03-15,Prof,Mike Tyson,Having your own Reality Star show,http://www.washingtonpost.com/wp-dyn/content/article/2010/03/15/AR2010031503359.html?hpid=news-col-blog
2010-03-20,Connors,Tiger Woods,Sexting or having private sexual messages leaked,
2010-05-02,Joel,Osama Bin Laden,Base (Normal) Death,
2011-07-25,Connors,Kristin Cavallari,Breaking off engagement,
2011-07-25,Lynch,Ron Artest,Changing your name,
2011-07-25,Vinny,Kwame Kilpatrick,Serving jail time for any crime,
2011-07-25,Vinny,Lenny Dykstra,Getting convicted of any crime,
2012-02-14,Jackson,Kim Jong Il,Base (Normal) Death,
2011-07-23,Lynch,Amy Winehouse,Base (Normal) Death,
2010-05-28,Prof,Gary Coleman,Base (Normal) Death,
2012-02-11,Geoff,Whitney Houston,Base (Normal) Death,
2014-07-04,Jackson,Joan Rivers,Base (Normal) Death,
2011-10-08,Connors,Al Davis,Base (Normal) Death,
